group_id,chunk_id,topic,category,risk_level,title,text,source_id,allowed_use,blocked_use,language
G20,G20_C001,Financial study pressure,understanding_financial_study_pressure,L0_NORMAL,Prevalent is financial stress among university students globally,"Financial stress is a major issue in higher education around the world. A 2024 survey by Ellucian of 1,500 U.S. college students found that 59% had thought about dropping out because of financial stress. Almost 80% said their mental health suffered due to money worries. Data from Gallup and the Lumina Foundation (2023) indicated that 66% of students feel stressed, and 51% feel worried mainly because of their finances. The Hope Center for College, Community, and Justice (2021) found that 3 in 5 U.S. students face basic-need insecurity, which means they struggle to pay for food, housing, or both. A 2023 study of 1,272 Lebanese. Use this for general student support, planning, budgeting, and resource direction.",S001,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C002,Financial study pressure,understanding_financial_study_pressure,L0_NORMAL,Are the primary sources of financial stress for students,"The main sources of financial stress for students fall into several overlapping categories: (1) Tuition and fees, which is the most cited stressor; 61% of students in a College Ave survey said college was more expensive than they expected. (2) Living expenses, including rent, utilities, food, and transportation, are especially challenging for students living off campus. (3) Student loan debt, where the average debt for 2023 U.S. graduates was about $37,650, with national student loan debt reaching $1.7 trillion across 45 million borrowers. (4) Lack of emergency funds, as unexpected costs like medical bills or car repairs can upset an already tight budget. (5) Part-time. Use this for general student support, planning, budgeting, and resource direction.",S001,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C003,Financial study pressure,understanding_financial_study_pressure,L0_NORMAL,Financial stress differ between first-generation and non-first-generat,"Yes, significantly. First-generation students, those whose parents did not attend college, face a unique set of financial pressures. According to the 2024 Ellucian survey, 42% of respondents were first-generation students. Among them, 70% were adult learners balancing work and education. These students often have less family wealth, find it harder to navigate financial aid systems, and are less aware of scholarship opportunities. Studies show they are more likely to enroll in community colleges or for-profit institutions, which often have higher loan dependency rates. They are also less likely to have financial safety nets. Research published in university dropout reviews from 2020 to 2024 confirms that. Use this for general student support, planning, budgeting, and resource direction.",S001,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C004,Financial study pressure,understanding_financial_study_pressure,L0_NORMAL,Does gender influence the experience of financial study pressure,"The variable of gender has considerable significance in moderating the experience of financial academic stress. There have been a number of researches conducted in this respect, for example, the 2023 study published in BMC Public Health on financial study stress among Lebanese university students showed that females scored more on BDS-10 and PSS-10 - this means that financial pressure affects their psychological well-being worse than it does those of males. Gender is mentioned as a possible moderating variable in the relationship between financial stress and psychological consequences in the research described in IJRISS (2025). Some factors that contribute to this phenomenon can be listed as. Use this for general student support, planning, budgeting, and resource direction.",S001,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C005,Financial study pressure,mental_health_impacts,L1_STRESS,Is the relationship between student debt and depression or anxiety,"There is an evident and statistically reliable connection between student debt and mental illnesses such as depression and anxiety disorders. According to statistics, as much as 46% of people with financial problems have mental issues, which is evidence of the high correlation between being in debt and suffering from psychological problems (Grand Rising Behavioral Health, 2024). As for students, fear of future debt can be an important factor that leads to their suffering from anxiety before receiving student loans. Students think about money while awake and before going to sleep, which causes them to become overexcited and unable to relax (AIU Blog, 2025). There is. Use this for general support and referral guidance only; do not diagnose or suggest medication.",S002,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C006,Financial study pressure,mental_health_impacts,L1_STRESS,Financial study pressure lead to physical health problems in students,"Yes. Although effects on mental wellbeing are the most extensively studied effects, there are also physical health effects resulting from financial stress via the psychosomatic pathway. Continuous psychological stress activates the HPA axis, causing high cortisol levels. High cortisol levels cause compromised immune response (more illnesses for the students), gastrointestinal issues (irritable bowel syndrome, indigestion), increased pressure and strain on the heart, and musculoskeletal tension (migraines, neck and back pain). In addition, according to the BMC Public Health (2024) research conducted among Lebanese students, there is a connection between financial stress and poorer sleep quality based on Pittsburgh Sleep Quality Index - and sleep deprivation. Use this for general support and referral guidance only; do not diagnose or suggest medication.",S002,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C007,Financial study pressure,mental_health_impacts,L0_NORMAL,Does financial stress affect concentration and academic performance,"In a direct way, financial distress affects cognitive functioning in several ways, all of which negatively impact academic success. First and foremost, there is the idea of the 'bandwidth tax.' This is where cognitive capacity available to learn and understand things becomes impaired because the mind must attend to other pressing issues. As reported by the American Institute for University Research, students under financial strain tend to exhibit absenteeism, poor grades, and concentration problems during class. According to the Ellucian 2024 report, over 59% of students surveyed had been forced to contemplate dropping out of school due to financial stress, making it an extreme case. Use this for general student support, planning, budgeting, and resource direction.",S002,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C008,Financial study pressure,mental_health_impacts,L0_NORMAL,Financial study pressure increase the risk of students dropping out of,"Indeed, financial struggle plays an important role as one of the best indicators of students' dropout. Indeed, according to EducationData.org, 41% of college students state that they dropped out because they faced financial issues with either not being able to afford tuition (around 50%) or with other expenses (also around 50%). In addition, the Ellucian 2024 survey revealed that 59% of students thought about dropping out because of financial difficulties. More specifically, the research suggests that almost 40% of students who borrow do not graduate, while such students are three times more likely to default on loans and are expected to earn significantly lower incomes. Use this for general student support, planning, budgeting, and resource direction.",S002,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C009,Financial study pressure,coping_strategies,L0_NORMAL,Can students find scholarships and financial aid to reduce financial p,"Scholarships and grants are the most effective strategies since they do not entail repayment obligations unlike the former category. Possible solutions are: (1) Visit your university's financial aid office, which will be able to help you with scholarships, grants, emergency funding, and work study opportunities. (2) Look into websites that provide such information like Bold.org, Fastweb, Scholarships.com, and Chegg Scholarships. (3) Look for government grants, e.g. for American students there are Federal Pell Grants (with an upper annual limit of $7,395) and TEACH Grant programs. (4) Employer/community scholarships where the organization in one's area, religious organization, employer etc. gives a scholarship for education. (5) Completing. Use this for general student support, planning, budgeting, and resource direction.",S005,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C010,Financial study pressure,coping_strategies,L0_NORMAL,Role does physical exercise play in managing financial study pressure,"Exercise is one of the stress coping techniques proven through research. Moreover, exercise is applicable to students since it does not require significant amounts of money to engage in. Running, cycling, swimming, or any other form of aerobic exercise leads to the release of endorphins, serotonin, and norepinephrine that help to relieve stress caused by financial worries. According to Ellie Mental Health (2024), swimming, cycling, or kickboxing are some of the forms of aerobic exercise that can be used naturally to minimize the feeling of financial stress. Besides, exercise will lead to better sleep, higher energy levels, and self-efficacy. In addition, it has been observed. Use this for general student support, planning, budgeting, and resource direction.",S005,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
